id;sentencas;documento
1;['gatilho c a praca sete amg so os assaltos'];gatilho c a praca sete amg so os assaltos
2;['na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco', 'pq n tinha essa maldade inves de ficar na praca de alimentacao', 'la', 'nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila'];na rodoviaria de sp nao aguardem proximo ao portao de embarque quase fui assaltada em marco pq n tinha essa maldade inves de ficar na praca de alimentacao la nao tem controle de quem vai embarcar ou nao so vao para o acesso de embarque uns 15 min que ja tera fila
3;['eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande'];eu espero que a policia esteja treinada para identificar quando a pessoa esta realmente armada ou nao assim como tenha meios de defesa nao letais para casos de incidentes visto que nos eua o numero de pessoas com problemas mentais em situacao de rua e grande
4;['assaltaram duas casas aqui na minha rua e agora eu to com medinho'];assaltaram duas casas aqui na minha rua e agora eu to com medinho
5;['sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente'];sim e importante a apuracao para mostrar que foram infiltrados a mando para fazer estes atos e jogar nas costas da populacao ordeira que esta a 38 dias na rua sem nenhum incidente
6;['uma vez no meio da avenida brasil pedi o blablacar pra rotear internet do nd ele disse desfaz a operacao tranquei o cool ele me levou escoltada pra delegacia em bangu dizendo que eu havia roubado ele pelo roteador ele so tava sem net e n carregou o saldo e queria me cobrar'];uma vez no meio da avenida brasil pedi o blablacar pra rotear internet do nd ele disse desfaz a operacao tranquei o cool ele me levou escoltada pra delegacia em bangu dizendo que eu havia roubado ele pelo roteador ele so tava sem net e n carregou o saldo e queria me cobrar
7;['se a ariana nao soltar a data em 1 semana da primeira performance de yes and estarei saindo na rua cometendo crimes'];se a ariana nao soltar a data em 1 semana da primeira performance de yes and estarei saindo na rua cometendo crimes
8;['antes da pandemia fui em uma festa balaia la perto da galeria do rock na saida o seguranca tava escoltando ate a esquina pq quem passava sozinho era assaltado e espancado mesmo ja estando amanhecendo e pequeno detalhe na praca da republica tinham uns 20 policias fazendo nada'];antes da pandemia fui em uma festa balaia la perto da galeria do rock na saida o seguranca tava escoltando ate a esquina pq quem passava sozinho era assaltado e espancado mesmo ja estando amanhecendo e pequeno detalhe na praca da republica tinham uns 20 policias fazendo nada
9;['um homem de 49 anos foi agredido na manha desta tercafeira 29 durante uma tentativa de roubo no centro de niteroi rj o crime ocorreu por volta das 9h na avenida ernani do amaral peixoto a policia agiu rapidamente e conseguiu conduzir o agressor a delegacia'];um homem de 49 anos foi agredido na manha desta tercafeira 29 durante uma tentativa de roubo no centro de niteroi rj o crime ocorreu por volta das 9h na avenida ernani do amaral peixoto a policia agiu rapidamente e conseguiu conduzir o agressor a delegacia
10;['homem e morto dentro de casa e esposa baleada no bairro cassange dhpp investiga o crime'];homem e morto dentro de casa e esposa baleada no bairro cassange dhpp investiga o crime
