id;ner_documento
1;[[0, [['gatilho c a praca sete amg', 'MISC', 0, 26]]]]
2;[[0, [['rodoviaria de sp', 'LOC', 3, 19], ['aguardem', 'LOC', 24, 32]]], [1, []], [2, []], [3, []]]
3;[[0, [['eua', 'LOC', 185, 188]]]]
4;[[0, []]]
5;[[0, []]]
6;[[0, [['avenida brasil', 'LOC', 19, 33], ['nd', 'ORG', 74, 76], ['bangu', 'PER', 161, 166]]]]
7;[[0, []]]
8;[[0, [['praca da republica', 'LOC', 221, 239]]]]
9;[[0, [['niteroi rj', 'LOC', 106, 116], ['avenida ernani do amaral peixoto', 'LOC', 153, 185]]]]
10;[[0, [['dhpp', 'PER', 65, 69]]]]
11;[[0, [['avenida santo amaro', 'LOC', 62, 81]]], [1, [['paulo brasilurgente bandjornalismo', 'PER', 0, 34]]]]
12;[[0, [['butia', 'LOC', 0, 5], ['avenida farroupilha', 'LOC', 70, 89], ['vila nova', 'LOC', 97, 106]]]]
13;[[0, [['copacabana', 'LOC', 0, 10], ['eduardopaes claudiocastrorj', 'PER', 239, 266]]]]
14;[[0, []], [1, [['avenida luiz estevao', 'LOC', 114, 134]]]]
15;[[0, [['nazare', 'LOC', 18, 24]]]]
16;[[0, [['praca da', 'LOC', 23, 31]]]]
17;[[0, [['mds', 'PER', 0, 3]]]]
18;[[0, [['praca de casa forte', 'LOC', 27, 46], ['recife g1', 'LOC', 50, 59]]]]
19;[[0, [['passo fundo', 'LOC', 86, 97]]]]
20;[[0, [['avenida brasil', 'LOC', 127, 141], ['noticia', 'LOC', 149, 156]]]]
21;[[0, [['walter gomes de azevedo', 'PER', 41, 64], ['filemon gomes', 'LOC', 152, 165], ['fortaleza ce', 'LOC', 193, 205], ['walter', 'LOC', 213, 219]]]]
22;[[0, []]]
23;[[0, []]]
24;[[0, [['avenida brasil', 'LOC', 49, 63]]]]
25;[[0, [['clinica', 'LOC', 0, 7], ['avenida primeiro de maio', 'LOC', 18, 42]]]]
26;[[0, []]]
27;[[0, []]]
28;[[0, [['uba policia militar', 'LOC', 0, 19]]], [1, [['sao domingos', 'LOC', 0, 12]]]]
29;[[0, [['eptvoficial', 'LOC', 0, 11], ['avenida d pedro i', 'LOC', 33, 50]]]]
30;[[0, []]]
31;[[0, [['brasil', 'LOC', 49, 55]]], [1, []]]
32;[[0, [['brancoamarelo', 'PER', 17, 30]]]]
33;[[0, []], [1, [['praca dos tres', 'LOC', 66, 80], ['congresso nacional', 'LOC', 114, 132]]]]
34;[[0, [['praca pqp', 'LOC', 87, 96]]]]
35;[[0, []], [1, []]]
36;[[0, []]]
37;[[0, []], [1, []]]
38;[[0, []]]
39;[[0, [['tino', 'LOC', 0, 4], ['casa balancogeralrj', 'PER', 97, 116]]]]
40;[[0, [['rodoviaria', 'LOC', 50, 60], ['criciuma', 'LOC', 213, 221]]]]
41;[[0, []]]
42;[[0, [['policia', 'LOC', 0, 7], ['marechal deodoro', 'PER', 46, 62], ['marechal deodoro', 'LOC', 132, 148]]], [1, [['proximo', 'LOC', 0, 7], ['praca da faculdade', 'LOC', 10, 28], ['maceio', 'LOC', 32, 38]]]]
43;[[0, [['policia civil efetua prisao de homem de 42 anos', 'LOC', 0, 47]]]]
44;[[0, [['pt', 'ORG', 52, 54]]]]
45;[[0, [['avenida brasil', 'LOC', 76, 90]]]]
46;[[0, [['luiz oliveira', 'PER', 31, 44], ['eva', 'PER', 68, 71]]]]
47;[[0, [['reporter', 'ORG', 0, 8], ['tv globo', 'ORG', 12, 20], ['sao paulo', 'LOC', 98, 107], ['saopaulo assalto', 'MISC', 136, 152]]], [1, []]]
48;[[0, []]]
49;[[0, []]]
50;[[0, [['caxias', 'LOC', 52, 58]]]]
