id;pos_documento
1;[[['gatilho', 'c', 'a', 'praca', 'sete', 'amg', 'so', 'os', 'assaltos'], ['NOUN', 'PUNCT', 'DET', 'NOUN', 'NUM', 'PROPN', 'PROPN', 'DET', 'NOUN'], [], ['gatilho', 'c', 'o', 'praca', 'sete', 'amg', 'so', 'o', 'assalto']]]
2;[[['na', 'rodoviaria', 'de', 'sp', 'nao', 'aguardem', 'proximo', 'ao', 'portao', 'de', 'embarque', 'quase', 'fui', 'assaltada', 'em', 'marco'], ['ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADV', 'AUX', 'VERB', 'ADP', 'NOUN'], ['aguardem', 'fui assaltada'], ['em o', 'rodoviaria', 'de', 'sp', 'nao', 'aguardem', 'proximo', 'a o', 'portao', 'de', 'embarque', 'quase', 'ser', 'assaltar', 'em', 'marco']], [['pq', 'n', 'tinha', 'essa', 'maldade', 'inves', 'de', 'ficar', 'na', 'praca', 'de', 'alimentacao'], ['CCONJ', 'PROPN', 'VERB', 'DET', 'NOUN', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN'], ['tinha', 'inves', 'ficar'], ['pq', 'n', 'ter', 'esse', 'maldade', 'inves', 'de', 'ficar', 'em o', 'praca', 'de', 'alimentacao']], [['la'], ['PROPN'], [], ['la']], [['nao', 'tem', 'controle', 'de', 'quem', 'vai', 'embarcar', 'ou', 'nao', 'so', 'vao', 'para', 'o', 'acesso', 'de', 'embarque', 'uns', '15', 'min', 'que', 'ja', 'tera', 'fila'], ['ADV', 'VERB', 'NOUN', 'SCONJ', 'PRON', 'AUX', 'VERB', 'CCONJ', 'PROPN', 'PROPN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NUM', 'NOUN', 'PRON', 'PROPN', 'VERB', 'NOUN'], ['tem', 'vai embarcar', 'vao', 'tera'], ['nao', 'ter', 'controle', 'de', 'quem', 'ir', 'embarcar', 'ou', 'nao', 'so', 'vao', 'para', 'o', 'acesso', 'de', 'embarque', 'um', '15', 'min', 'que', 'ja', 'terar', 'fila']]]
3;[[['eu', 'espero', 'que', 'a', 'policia', 'esteja', 'treinada', 'para', 'identificar', 'quando', 'a', 'pessoa', 'esta', 'realmente', 'armada', 'ou', 'nao', 'assim', 'como', 'tenha', 'meios', 'de', 'defesa', 'nao', 'letais', 'para', 'casos', 'de', 'incidentes', 'visto', 'que', 'nos', 'eua', 'o', 'numero', 'de', 'pessoas', 'com', 'problemas', 'mentais', 'em', 'situacao', 'de', 'rua', 'e', 'grande'], ['PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'ADJ', 'SCONJ', 'VERB', 'ADV', 'DET', 'NOUN', 'PRON', 'ADV', 'VERB', 'CCONJ', 'VERB', 'ADV', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'SCONJ', 'ADP', 'PROPN', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ'], ['espero', 'identificar', 'armada', 'nao', 'tenha', 'visto'], ['eu', 'esperar', 'que', 'o', 'policia', 'estar', 'treinado', 'para', 'identificar', 'quando', 'o', 'pessoa', 'este', 'realmente', 'armar', 'ou', 'nao', 'assim', 'como', 'ter', 'meio', 'de', 'defesa', 'nao', 'letal', 'para', 'caso', 'de', 'incidente', 'ver', 'que', 'em o', 'EUA', 'o', 'numero', 'de', 'pessoa', 'com', 'problema', 'mental', 'em', 'situacao', 'de', 'rua', 'e', 'grande']]]
4;[[['assaltaram', 'duas', 'casas', 'aqui', 'na', 'minha', 'rua', 'e', 'agora', 'eu', 'to', 'com', 'medinho'], ['VERB', 'NUM', 'NOUN', 'ADV', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'VERB', 'ADP', 'NOUN'], ['assaltaram', 'to'], ['assaltar', 'dois', 'casa', 'aqui', 'em o', 'meu', 'rua', 'e', 'agora', 'eu', 'to', 'com', 'medinho']]]
5;[[['sim', 'e', 'importante', 'a', 'apuracao', 'para', 'mostrar', 'que', 'foram', 'infiltrados', 'a', 'mando', 'para', 'fazer', 'estes', 'atos', 'e', 'jogar', 'nas', 'costas', 'da', 'populacao', 'ordeira', 'que', 'esta', 'a', '38', 'dias', 'na', 'rua', 'sem', 'nenhum', 'incidente'], ['ADV', 'CCONJ', 'ADJ', 'SCONJ', 'NOUN', 'SCONJ', 'VERB', 'SCONJ', 'AUX', 'VERB', 'SCONJ', 'VERB', 'SCONJ', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PRON', 'PRON', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN'], ['mostrar', 'foram infiltrados', 'mando', 'fazer', 'jogar'], ['sim', 'e', 'importante', 'a', 'apuracao', 'para', 'mostrar', 'que', 'ser', 'infiltrar', 'a', 'mar', 'para', 'fazer', 'este', 'ato', 'e', 'jogar', 'em o', 'costa', 'de o', 'populacao', 'ordeiro', 'que', 'este', 'a', '38', 'dia', 'em o', 'rua', 'sem', 'nenhum', 'incidente']]]
6;[[['uma', 'vez', 'no', 'meio', 'da', 'avenida', 'brasil', 'pedi', 'o', 'blablacar', 'pra', 'rotear', 'internet', 'do', 'nd', 'ele', 'disse', 'desfaz', 'a', 'operacao', 'tranquei', 'o', 'cool', 'ele', 'me', 'levou', 'escoltada', 'pra', 'delegacia', 'em', 'bangu', 'dizendo', 'que', 'eu', 'havia', 'roubado', 'ele', 'pelo', 'roteador', 'ele', 'so', 'tava', 'sem', 'net', 'e', 'n', 'carregou', 'o', 'saldo', 'e', 'queria', 'me', 'cobrar'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'PROPN', 'ADP', 'PROPN', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'VERB', 'DET', 'ADJ', 'PRON', 'PRON', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PRON', 'ADP', 'NOUN', 'PRON', 'VERB', 'AUX', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'PRON', 'VERB'], ['pedi', 'rotear', 'disse desfaz', 'tranquei', 'levou escoltada', 'dizendo', 'havia roubado', 'so tava', 'carregou', 'queria', 'cobrar'], ['uma', 'vez', 'em o', 'meio', 'de o', 'avenida', 'brasil', 'pedir', 'o', 'blablacar', 'pra', 'rotear', 'Internet', 'de o', 'nd', 'ele', 'dizer', 'desfaz', 'o', 'operacao', 'tranquei', 'o', 'cool', 'ele', 'eu', 'levar', 'escoltar', 'pra', 'delegacia', 'em', 'Bangu', 'dizer', 'que', 'eu', 'haver', 'roubar', 'ele', 'por o', 'roteador', 'ele', 'so', 'tar', 'sem', 'net', 'e', 'n', 'carregar', 'o', 'saldo', 'e', 'querer', 'eu', 'cobrar']]]
7;[[['se', 'a', 'ariana', 'nao', 'soltar', 'a', 'data', 'em', '1', 'semana', 'da', 'primeira', 'performance', 'de', 'yes', 'and', 'estarei', 'saindo', 'na', 'rua', 'cometendo', 'crimes'], ['SCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'AUX', 'VERB', 'ADP', 'NOUN', 'VERB', 'NOUN'], ['soltar', 'estarei saindo', 'cometendo'], ['se', 'o', 'ariano', 'nao', 'soltar', 'o', 'data', 'em', '1', 'semana', 'de o', 'primeiro', 'performance', 'de', 'yes', 'and', 'estarei', 'sair', 'em o', 'rua', 'cometer', 'crime']]]
8;[[['antes', 'da', 'pandemia', 'fui', 'em', 'uma', 'festa', 'balaia', 'la', 'perto', 'da', 'galeria', 'do', 'rock', 'na', 'saida', 'o', 'seguranca', 'tava', 'escoltando', 'ate', 'a', 'esquina', 'pq', 'quem', 'passava', 'sozinho', 'era', 'assaltado', 'e', 'espancado', 'mesmo', 'ja', 'estando', 'amanhecendo', 'e', 'pequeno', 'detalhe', 'na', 'praca', 'da', 'republica', 'tinham', 'uns', '20', 'policias', 'fazendo', 'nada'], ['ADV', 'ADP', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN', 'ADJ', 'PROPN', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'AUX', 'VERB', 'ADV', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'ADV', 'AUX', 'VERB', 'CCONJ', 'VERB', 'ADV', 'PROPN', 'AUX', 'VERB', 'CCONJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NUM', 'NOUN', 'VERB', 'PRON'], ['tava escoltando', 'passava', 'era assaltado', 'espancado', 'estando amanhecendo', 'tinham', 'fazendo'], ['antes', 'de o', 'pandemia', 'ser', 'em', 'um', 'festa', 'balaia', 'la', 'perto', 'de o', 'galeria', 'de o', 'rock', 'em o', 'saida', 'o', 'seguranca', 'tar', 'escoltar', 'ate', 'o', 'esquina', 'pq', 'quem', 'passar', 'sozinho', 'ser', 'assaltar', 'e', 'espancar', 'mesmo', 'ja', 'estar', 'amanhecer', 'e', 'pequeno', 'detalhe', 'em o', 'praca', 'de o', 'republica', 'ter', 'um', '20', 'policia', 'fazer', 'nada']]]
9;[[['um', 'homem', 'de', '49', 'anos', 'foi', 'agredido', 'na', 'manha', 'desta', 'tercafeira', '29', 'durante', 'uma', 'tentativa', 'de', 'roubo', 'no', 'centro', 'de', 'niteroi', 'rj', 'o', 'crime', 'ocorreu', 'por', 'volta', 'das', '9h', 'na', 'avenida', 'ernani', 'do', 'amaral', 'peixoto', 'a', 'policia', 'agiu', 'rapidamente', 'e', 'conseguiu', 'conduzir', 'o', 'agressor', 'a', 'delegacia'], ['DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NUM', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'DET', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'VERB', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN'], ['foi agredido', 'ocorreu', 'agiu', 'conseguiu conduzir'], ['um', 'homem', 'de', '49', 'ano', 'ser', 'agredir', 'em o', 'manha', 'de este', 'tercafeira', '29', 'durante', 'um', 'tentativa', 'de', 'roubo', 'em o', 'centro', 'de', 'niteroi', 'Rj', 'o', 'crime', 'ocorrer', 'por', 'volta', 'de o', '9h', 'em o', 'avenida', 'ernani', 'de o', 'Amaral', 'peixoto', 'o', 'policia', 'agir', 'rapidamente', 'e', 'conseguir', 'conduzir', 'o', 'agressor', 'o', 'delegacia']]]
10;[[['homem', 'e', 'morto', 'dentro', 'de', 'casa', 'e', 'esposa', 'baleada', 'no', 'bairro', 'cassange', 'dhpp', 'investiga', 'o', 'crime'], ['NOUN', 'CCONJ', 'VERB', 'ADV', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'DET', 'NOUN'], ['morto', 'baleada', 'dhpp', 'investiga'], ['homem', 'e', 'matar', 'dentro', 'de', 'casa', 'e', 'esposo', 'balear', 'em o', 'bairro', 'cassange', 'dhpp', 'investigar', 'o', 'crime']]]
